Name,Address,Latitude,Longitude,Provider1,Providerprice1,Provider2,Providerprice2,Provider3,Providerprice3,Provider4,Providerprice4,Provider5,Providerprice5,URL
Landhaus Schlachtensee,"Bogotastr. 9, 14163 Berlín Alemania",52.43945694,13.22973633,Tripadvisor,138.66,Booking.com,,Agoda.com,,,,,,https://www.tripadvisor.es/Hotel_Review-g187323-d235643-Reviews-Landhaus_Schlachtensee-Berlin.html
Parkhotel Marzahn Garni,"Blumberger Damm 156, 12685 Berlín Alemania",52.5450592,13.57186985,Tripadvisor,137.7,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d4064487-Reviews-Parkhotel_Marzahn_Garni-Berlin.html
COSMO Hotel Berlin Mitte,"Spittelmarkt 13, 10117 Berlín Alemania",52.5114975,13.40133858,Tripadvisor,137.6,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d1642001-Reviews-COSMO_Hotel_Berlin_Mitte-Berlin.html
Lulu Guldsmeden - Guldsmeden Hotels,"Potsdamer Str. 67, 10785 Berlín Alemania",52.50335312,13.36618328,Tripadvisor,134.37,Booking.com,,Agoda.com,,,,,,https://www.tripadvisor.es/Hotel_Review-g187323-d232610-Reviews-Lulu_Guldsmeden_Guldsmeden_Hotels-Berlin.html
Hotel Residenz Begaswinkel,"Genthiner Str. 30a, 10785 Berlín Alemania",52.50351715,13.35837841,Tripadvisor,133.33,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d571044-Reviews-Hotel_Residenz_Begaswinkel-Berlin.html
Hotel Brandies,"Kaiserdamm 27 Charlottenburg, 14057 Berlín Alemania",52.51016998,13.28086281,Tripadvisor,129.6,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d234932-Reviews-Hotel_Brandies-Berlin.html
Ocak Apartment & Hotel,"Juelicher Str. 15 Mitte, 13357 Berlín Alemania",52.55085754,13.3915472,Tripadvisor,126.93,Booking.com,,Expedia,127.1613,Hotels.com,,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d12351517-Reviews-Ocak_Apartment_Hotel-Berlin.html
Sir Savigny Hotel,"Kantstr. 144, 10623 Berlín Alemania",52.50575256,13.32067776,Tripadvisor,126.61,Booking.com,,Hotels.com,,Official Site,,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d1737003-Reviews-Sir_Savigny_Hotel-Berlin.html
Hotel Essential by Dorint Berlin-Adlershof,"Rudower Chaussee 15, 12489 Berlín Alemania",52.43178558,13.53461933,Tripadvisor,125.65,Official Site,,Booking.com,,Hotels.com,,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d583964-Reviews-Hotel_Essential_by_Dorint_Berlin_Adlershof-Berlin.html
LANDMARK eco Hotel,"Gervinusstr. 24, 10629 Berlín Alemania",52.50193405,13.29690075,Tripadvisor,123.73,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d3530202-Reviews-LANDMARK_eco_Hotel-Berlin.html
